0.85 0.216385 -0.0035502 -0.0035502
0.852 0.21624 -0.00368967 -0.00368967
0.854 0.21609 -0.00383439 -0.00383439
0.856 0.215933 -0.00398455 -0.00398455
0.858 0.215771 -0.00414032 -0.00414032
0.86 0.215602 -0.0043019 -0.0043019
0.862 0.215426 -0.00446948 -0.00446948
0.864 0.215244 -0.00464325 -0.00464325
0.866 0.215055 -0.00482343 -0.00482343
0.868 0.214858 -0.00501021 -0.00501021
0.87 0.214654 -0.00520381 -0.00520381
0.872 0.214442 -0.00540444 -0.00540444
0.874 0.214222 -0.00561233 -0.00561233
0.876 0.213993 -0.00582769 -0.00582769
0.878 0.213755 -0.00605075 -0.00605075
0.88 0.213509 -0.00628175 -0.00628175
0.882 0.213253 -0.00652091 -0.00652091
0.884 0.212987 -0.00676847 -0.00676847
0.886 0.212711 -0.00702468 -0.00702468
0.888 0.212425 -0.00728977 -0.00728977
0.89 0.212128 -0.00756399 -0.00756399
0.892 0.211819 -0.00784757 -0.00784757
0.894 0.2115 -0.00814077 -0.00814077
0.896 0.211168 -0.00844383 -0.00844383
0.898 0.210824 -0.008757 -0.008757
0.9 0.210467 -0.00908051 -0.00908051
0.902 0.210098 -0.00941461 -0.00941461
0.904 0.209714 -0.00975955 -0.00975955
0.906 0.209317 -0.0101155 -0.0101155
0.908 0.208905 -0.0104828 -0.0104828
0.91 0.208478 -0.0108617 -0.0108617
0.912 0.208036 -0.0112522 -0.0112522
0.914 0.207578 -0.0116547 -0.0116547
0.916 0.207103 -0.0120694 -0.0120694
0.918 0.206612 -0.0124965 -0.0124965
0.92 0.206103 -0.012936 -0.012936
0.922 0.205577 -0.0133883 -0.0133883
0.924 0.205032 -0.0138534 -0.0138534
0.926 0.204468 -0.0143315 -0.0143315
0.928 0.203885 -0.0148228 -0.0148228
0.93 0.203282 -0.0153273 -0.0153273
0.932 0.202659 -0.015845 -0.015845
0.934 0.202015 -0.0163761 -0.0163761
0.936 0.201349 -0.0169207 -0.0169207
0.938 0.200661 -0.0174786 -0.0174786
0.94 0.19995 -0.0180499 -0.0180499
0.942 0.199217 -0.0186345 -0.0186345
0.944 0.198459 -0.0192323 -0.0192323
0.946 0.197678 -0.0198432 -0.0198432
0.948 0.196872 -0.0204671 -0.0204671
0.95 0.19604 -0.0211037 -0.0211037
0.952 0.195183 -0.0217528 -0.0217528
0.954 0.1943 -0.0224141 -0.0224141
0.956 0.19339 -0.0230873 -0.0230873
0.958 0.192453 -0.0237719 -0.0237719
0.96 0.191488 -0.0244676 -0.0244676
0.962 0.190495 -0.0251738 -0.0251738
0.964 0.189474 -0.0258901 -0.0258901
0.966 0.188424 -0.0266157 -0.0266157
0.968 0.187345 -0.0273501 -0.0273501
0.97 0.186236 -0.0280925 -0.0280925
0.972 0.185097 -0.0288422 -0.0288422
0.974 0.183928 -0.0295983 -0.0295983
0.976 0.182729 -0.0303599 -0.0303599
0.978 0.181499 -0.031126 -0.031126
0.98 0.180239 -0.0318957 -0.0318957
0.982 0.178948 -0.0326678 -0.0326678
0.984 0.177626 -0.0334412 -0.0334412
0.986 0.176272 -0.0342146 -0.0342146
0.988 0.174888 -0.034987 -0.034987
0.99 0.173473 -0.0357568 -0.0357568
0.992 0.172028 -0.0365227 -0.0365227
0.994 0.170552 -0.0372834 -0.0372834
0.996 0.169045 -0.0380374 -0.0380374
0.998 0.167509 -0.0387831 -0.0387831
1 0.165943 -0.039519 -0.039519
1.002 0.164347 -0.0402435 -0.0402435
1.004 0.162723 -0.0409551 -0.0409551
1.006 0.161071 -0.0416521 -0.0416521
1.008 0.159392 -0.0423329 -0.0423329
1.01 0.157685 -0.0429958 -0.0429958
1.012 0.155952 -0.0436393 -0.0436393
1.014 0.154194 -0.0442616 -0.0442616
1.016 0.152411 -0.0448611 -0.0448611
1.018 0.150605 -0.0454363 -0.0454363
1.02 0.148777 -0.0459856 -0.0459856
1.022 0.146927 -0.0465075 -0.0465075
1.024 0.145057 -0.0470005 -0.0470005
1.026 0.143167 -0.0474632 -0.0474632
1.028 0.14126 -0.0478943 -0.0478943
1.03 0.139336 -0.0482924 -0.0482924
1.032 0.137397 -0.0486564 -0.0486564
1.034 0.135444 -0.0489852 -0.0489852
